1;3611;Perencanaan
2;3612;SDM
3;3613;Keuangan
4;3614;PBJ
5;3615;Umum
6;3621;Duknaker
7;3622;Kesra
8;3623;Hansos
9;3631;pertanian
10;3632;industri
11;3633;PEK
12;3641;Stat Harga
13;3642;Stat Distribusi 
14;3643;Stat KTIP
15;3651;Neraca Produksi
16;3652;Neraca Konsumsi
17;3653;ASLS
18;3661;Tim IPDS #1
19;3662;Tim IPDS #2
20;3663;Tim IPDS #3
21;3681;JF Statistik
22;3682;DTKS
23;3683;Unit Kerja Kepala
24;3684;IPS
25;3685;Satu Data Indonesia
26;3686;Pojok Statistik
27;3687;Desa Cantik
28;3688;Change Champion
